"rid","proc1","proc2","proc3","proc4","proc5","w1commitnum","w1commithrs","w1commitoverw","w1freetime","gendermale","genderfemal","gendernonbinary","gendernoid"
166847858,4,3,3,4,4,5,15,4,3,0,1,0,0
166848476,3,4,4,4,3,2,40,3,3,0,1,0,0
166848865,4,2,3,4,4,7,30,4,2,1,0,0,0
166849168,4,2,4,3,2,3,2,3,2,0,1,0,0
166849510,3,2,3,2,2,5,50,2,3,0,1,0,0
166849673,5,4,5,4,4,4,35,4,3,0,1,0,0
166851127,5,3,4,1,2,4,60,5,2,1,0,0,0
166851143,3,3,5,4,3,4,35,3,2,0,1,0,0
166851682,1,1,2,1,3,5,40,3,2,0,1,0,0
166851693,2,1,2,2,2,8,68,4,2,0,1,0,0
166852196,2,4,4,2,4,3,10,3,2,0,1,0,0
166853130,2,4,4,4,4,4,24,3,3,0,1,0,0
166853709,2,3,3,3,2,3,15,3,3,0,1,0,0
166853909,4,5,5,5,3,7,50,4,2,1,0,0,0
166853964,3,4,2,4,4,9,75,4,1,0,1,0,0
166854131,2,2,4,3,3,5,13,3,3,0,1,0,0
166854195,3,3,3,3,3,5,45,4,2,0,1,0,0
166854349,2,3,4,2,4,2,20,4,2,1,0,0,0
166854396,4,4,4,4,4,2,5,3,2,0,1,0,0
166854449,5,4,4,4,4,3,30,4,3,0,1,0,0
166854825,3,3,3,4,3,5,40,3,3,0,1,0,0
166855196,2,4,4,4,2,3,13,3,2,0,1,0,0
166855449,3,2,5,3,2,5,14,3,2,0,1,0,0
166855797,5,4,4,5,4,5,43,4,4,1,0,0,0
166856125,4,4,3,4,2,5,19,3,2,0,1,0,0
166856753,3,4,4,3,3,10,14,4,2,0,1,0,0
166856764,5,4,5,4,3,4,20,3,3,0,1,0,0
166856828,3,2,3,4,3,2,40,4,3,0,1,0,0
166857140,3,2,4,2,2,2,14,3,3,0,1,0,0
166857153,3,2,3,2,2,4,44,3,3,0,1,0,0
166857155,4,3,4,2,4,4,10,3,3,0,1,0,0
166857223,1,1,2,2,2,9,50,5,2,0,1,0,0
166857335,4,3,3,2,2,9,30,3,2,1,0,0,0
166857476,2,2,4,3,4,2,8,5,2,0,1,0,0
166857478,3,4,4,4,4,5,10,1,3,1,0,0,0
166857633,4,5,5,3,5,5,35,3,3,0,1,0,0
166858042,4,4,4,3,4,10,50,3,3,0,1,0,0
166858366,5,3,4,4,4,4,55,3,2,0,1,0,0
166859737,5,5,5,5,5,4,41,4,3,0,1,0,0
166859844,4,5,5,4,4,1,25,3,3,0,1,0,0
166859903,4,4,3,2,3,2,24,4,2,0,1,0,0
166860023,3,5,2,3,4,11,38,2,3,1,0,0,0
166860115,1,2,1,3,2,3,40,3,3,0,1,0,0
166860822,4,3,4,2,4,4,6,3,3,1,0,0,0
166861013,4,3,4,3,2,5,28,3,2,0,1,0,0
166902671,4,3,5,4,3,8,36,3,3,0,1,0,0
166907938,2,1,2,2,4,2,5,3,3,0,1,0,0
166920488,2,2,4,2,2,5,10,4,2,0,1,0,0
166924748,3,3,3,3,3,10,27,3,2,0,0,1,0
166925823,4,4,3,5,4,5,57,3,2,0,1,0,0
166926579,2,2,3,2,2,2,40,1,3,0,1,0,0
166927105,4,4,4,3,4,3,16,5,3,0,1,0,0
166929097,2,5,3,3,3,6,40,4,2,0,1,0,0
166932287,3,4,4,2,2,2,20,3,3,0,1,0,0
166937700,3,1,4,4,1,5,10,1,3,1,0,0,0
166941397,4,3,4,2,4,7,59,4,2,0,1,0,0
166941617,2,4,4,2,4,7,25,4,3,0,1,0,1
166957050,3,3,3,3,3,10,46,3,2,0,1,0,0
166979631,3,4,4,3,4,1,20,3,3,0,1,0,0
166980301,2,2,4,2,2,2,8,4,2,0,1,0,0
166988774,4,4,4,4,3,5,29,3,2,0,1,0,0
166989487,3,3,3,3,2,7,40,3,3,0,1,0,0
166992105,4,3,4,4,3,9,33,2,2,0,1,0,0
166994864,3,3,3,3,3,19,53,5,2,0,1,0,0
167037822,1,2,2,2,2,4,14,2,3,1,0,0,0
167123669,3,2,3,1,2,8,50,4,2,0,1,0,0
167133364,2,1,2,2,3,10,20,2,3,0,1,0,0
