rid,proc1,proc2,proc3,proc4,proc5,w1commitnum,w1commithrs,w1commitoverw,w1freetime,w3tsq8,w1tsq13,w1tsq14,gendermale,genderfemal,pro_sum,gender
166583580,2.0,2.0,3.0,2.0,3.0,5.0,20.0,3.0,4.0,4.0,7.0,1.0,1.0,0.0,12.0,Male
166583624,2.0,1.0,4.0,1.0,1.0,3.0,23.0,4.0,2.0,6.0,7.0,5.0,0.0,1.0,9.0,Female
166584371,4.0,4.0,3.0,5.0,5.0,3.0,22.0,4.0,2.0,4.0,4.0,4.0,0.0,1.0,21.0,Female
166584387,2.0,3.0,4.0,2.0,2.0,3.0,30.0,3.0,3.0,5.0,5.0,4.0,0.0,1.0,13.0,Female
166584501,1.0,3.0,4.0,1.0,2.0,5.0,25.0,4.0,2.0,7.0,7.0,7.0,1.0,0.0,11.0,Male
166584546,4.0,3.0,3.0,2.0,2.0,3.0,20.0,2.0,3.0,6.0,6.0,5.0,1.0,0.0,14.0,Male
166585088,3.0,5.0,5.0,3.0,3.0,5.0,12.0,4.0,3.0,5.0,7.0,5.0,0.0,1.0,19.0,Female
166585283,4.0,4.0,4.0,3.0,4.0,0.0,9.0,1.0,4.0,6.0,5.0,7.0,0.0,1.0,19.0,Female
166585473,5.0,4.0,4.0,1.0,5.0,1.0,36.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,19.0,Female
166585575,4.0,5.0,5.0,4.0,5.0,3.0,40.0,2.0,3.0,6.0,4.0,6.0,0.0,1.0,23.0,Female
166586171,3.0,2.0,3.0,2.0,2.0,3.0,16.0,3.0,2.0,4.0,6.0,4.0,0.0,1.0,12.0,Female
166587241,3.0,1.0,3.0,3.0,2.0,4.0,15.0,3.0,3.0,7.0,5.0,4.0,0.0,1.0,12.0,Female
166630975,1.0,1.0,1.0,1.0,1.0,4.0,44.0,4.0,2.0,5.0,7.0,1.0,0.0,1.0,5.0,Female
166634560,4.0,4.0,4.0,5.0,4.0,10.0,70.0,3.0,2.0,5.0,7.0,6.0,1.0,0.0,21.0,Male
166643074,2.0,2.0,4.0,3.0,2.0,2.0,20.0,1.0,2.0,4.0,6.0,3.0,0.0,1.0,13.0,Female
